Input,Expected
33.06,32.064
33.21,32.1393333333333
34.09,32.3346666666666
33.94,32.5439999999999
33.14,32.6739999999999
32.6,32.7199999999999
32.69,32.7226666666666
32.05,32.7126666666666
32.09,32.6879999999999
31.49,32.7113333333333
32.64,32.7819999999999
32.08,32.7646666666666
32.47,32.7673333333333
32.55,32.7433333333333
32.21,32.6873333333333
32.15,32.6266666666666
30.71,32.4599999999999
30.67,32.2319999999999
30.58,32.0079999999999
30.11,31.8059999999999
29.55,31.6026666666666
30.19,31.4359999999999
28.88,31.2246666666666
28.35,30.9753333333333
26.02,30.6106666666666
27.6,30.2746666666666
26.48,29.9013333333333
27.7,29.5833333333333
27.39,29.2393333333333
27.64,28.9346666666666
27.57,28.6293333333333
27.47,28.4133333333333
25.19,28.0479999999999
24.78,27.6613333333333
25.06,27.3246666666666
26.2,27.1013333333333
26.68,26.8673333333333
25.9,26.6686666666666
26.65,26.5553333333333
27.91,26.6813333333333
27.87,26.6993333333333
28.07,26.8053333333333
27.85,26.8153333333333
26.97,26.7873333333333
26.49,26.7106666666666
27.63,26.7146666666666
26.72,26.6646666666666
26,26.7186666666666
26.75,26.8499999999999
27.72,27.0273333333333
28.15,27.1573333333333
28.95,27.3086666666666
29.23,27.5306666666666
29.02,27.6886666666666
28.35,27.7179999999999
29.54,27.8293333333333
28.34,27.8473333333333
28.9,27.9173333333333
29.71,28.0999999999999
30.13,28.3426666666666
29.46,28.4646666666666
29.65,28.6599999999999
28.74,28.8426666666666
27.94,28.9219999999999
28.69,28.9866666666666
29.51,29.0773333333333
30.07,29.1519999999999
29.91,29.1973333333333
30.97,29.3273333333333
30.93,29.4993333333333
31.11,29.6039999999999
31.14,29.7906666666666
31.85,29.9873333333333
31.23,30.0886666666666
31.88,30.2053333333333
31.49,30.3406666666666
31.53,30.4659999999999
32.12,30.6913333333333
32.87,31.0199999999999
32.37,31.2653333333333
32.4,31.4579999999999
33.66,31.6973333333333
33.69,31.9493333333333
32.77,32.0693333333333
31.69,32.1199999999999
32.28,32.1979999999999
33.11,32.3293333333333
32.55,32.3759999999999
32.87,32.4853333333333
33.61,32.6006666666666
31.59,32.6073333333333
31.73,32.6206666666666
32.37,32.6373333333333
32.3,32.5993333333333
32.96,32.6386666666666
31.99,32.6113333333333
30.82,32.4219999999999
30.6,32.2159999999999
29.91,32.0253333333333
29.81,31.8999999999999
29,31.6813333333333
28.74,31.3899999999999
29.87,31.2113333333333
29.74,31.0026666666666
31.35,30.852
31.67,30.8573333333333
31.2,30.8219999999999
31.9,30.7906666666666
31.73,30.7526666666666
31.54,30.658
30.74,30.5746666666666
31.69,30.6326666666666
31.32,30.6806666666666
30.83,30.7419999999999
29.87,30.7459999999999
29.03,30.7479999999999
29.21,30.7793333333333
28.62,30.6959999999999
29.17,30.6579999999999
25.77,30.2859999999999
25.69,29.8873333333333
26.06,29.5446666666666
25.63,29.1266666666666
25.51,28.7119999999999
25.8,28.3293333333333
